Video_URL,Video_Name
https://www.youtube.com/watch?v=ed93-q7sfaw,Around The House DIY's
https://www.youtube.com/watch?v=F6Uz88zY0Wo,DIY Green Cleaning
https://www.youtube.com/watch?v=vbFn10oIsss,PMS Relief Tips &Tricks
https://www.youtube.com/watch?v=8jq25qY0hoU,Easy Doggie DIY's
https://www.youtube.com/watch?v=a_tRyz_-9eo,Garden Bed FAIL? (MY GARDEN DIARY ep 1)
https://www.youtube.com/watch?v=BnfoNHmfRt8,DIY Chalkboard & Frame + Baby Room Decor
https://www.youtube.com/watch?v=lbZGYlhDyNY,DIY Fall & Winter Skincare
https://www.youtube.com/watch?v=ofKRbbKZw5c,"DIY Home Decor (Towel Ladder, Shelving, Succulents Caddy)"
https://www.youtube.com/watch?v=VqLZY9zGD80,Upcycle & DIY Home Decor Ideas
https://www.youtube.com/watch?v=f5IPAZNtfgI,"Postpartum DIY's, BreastFeeding Tips & Pump Unboxing"
https://www.youtube.com/watch?v=58tx41G014k,"DIY Summer Beauty Treatments (Sheet Masks, Eye Pads, After Sun Gel)"
https://www.youtube.com/watch?v=F-qbNRxJ27w,DIY Summer Home Decor
https://www.youtube.com/watch?v=cP2nwQXrU90,How I Organize My Craft Supplies & DIY Projects
https://www.youtube.com/watch?v=k9LYo2WAQus,Herb Garden Tour + DIY Garden Starting Ideas
https://www.youtube.com/watch?v=UmbxmIA0MUA,"Herbal DIY's (Tea, Cleaning, Beauty & Home Decor)"
https://www.youtube.com/watch?v=_UiW4g5UTlc,Super Simple Beauty DIY's
https://www.youtube.com/watch?v=SRYGZUDhfPA,DIY Spring Dollar Store Decor
https://www.youtube.com/watch?v=RFCYAfN8kL4,Bath Time DIY's  (Bath Bombs & Tub Teas)
https://www.youtube.com/watch?v=Caz2euDpJOo,DIY Cleaning HACKS + Easy Spring Decor
https://www.youtube.com/watch?v=0ygVAKj95HI,VALENTINES Date Night In (DIY Ideas)
https://www.youtube.com/watch?v=fJBMDMEYGhA,My Pregnancy Routine (DIY Belly Butter + Routine)
https://www.youtube.com/watch?v=BarRjPRpmts,"Cold Busting Recipe Hacks (DIY Cough Drops, Juice Shot, Soup)"
https://www.youtube.com/watch?v=eoX2Ita_wKk,"Easy Kids DIY's (Kinetic Sand, Shape Blocks, Storm Clouds)"
https://www.youtube.com/watch?v=NFuBPZoEp9c,"DIY Pampering (Soy Candle, Bath Soak, Gel Eye Patches)"
https://www.youtube.com/watch?v=IDj_BPkrPRM,DIY Dollar Store Decor (EASY Holiday Edition)
https://www.youtube.com/watch?v=pUQ628QoOFc,"DIY  Skincare Products (Caffeinated Eye Mask, Lash Serum, Scrub, Body Butter)"
https://www.youtube.com/watch?v=_3WKx-sacCY,DIY Dollar Store Decor
https://www.youtube.com/watch?v=xQNeRdsgdUo,"Road Trip (Packing, Hacks, DIY + VLOG)"
https://www.youtube.com/watch?v=8BZdLFJ-OWI,"DIY Kids Treats (Pop Tarts, Dots, Gummy snacks)"
https://www.youtube.com/watch?v=xOVoINIkoAQ,"DIY Kids Toys ( Robot Crayons, Car Garage, Chalk)"
https://www.youtube.com/watch?v=KsBW0zLQ5zY,"DIY Laundry Room Hacks (Ironing Board, Dryer Sheets)"
https://www.youtube.com/watch?v=Bbt9TR9ZTdI,DIY Natural Bathroom Cleaning Tips
https://www.youtube.com/watch?v=SfyHFldmw0k,DIY Fall Pamper Session
https://www.youtube.com/watch?v=dz9_Cp0ftSY,DIY Fall decor + Recipes
https://www.youtube.com/watch?v=3omgifrgWFw,"Getting Ready For Fall (Hair, Makeup, Fashion, DIY, Home)"
https://www.youtube.com/watch?v=lkvE_LGU2XU,"Fun DIY Kids Crafts (Unicorn Poop, Bouncy Ball, Bubbles)"
https://www.youtube.com/watch?v=_RVd_CDHwLE,"DIY Kids Snacks (Teddy Grahams, Cheetos, etc)"
https://www.youtube.com/watch?v=DAsPF9d79kI,DIY Spa Products
https://www.youtube.com/watch?v=uLjLJUGW5BI,DIY Spa Day (Shower Edition)
https://www.youtube.com/watch?v=e8f12ZM_NKc,Closet Clean Out (My Tips & DIY)
https://www.youtube.com/watch?v=4jhWfku6AzA,Simple DIY Home Decor
https://www.youtube.com/watch?v=zls3JrFP31Q,Clutter Free Bathroom Hacks + DIY
https://www.youtube.com/watch?v=O3SrfNRSw3Q,"DIY Skincare Hacks (Acne Scars, Bruises&Discoloration)"
https://www.youtube.com/watch?v=nFJqbmEVEws,Healthy Bedtime Habits (My Routine + DIY)
https://www.youtube.com/watch?v=-AzBDUeKA8A,Day Of Detox (Recipes + DIY)
https://www.youtube.com/watch?v=AfNIivsbzUg,Summer Hiking Must Haves + DIY
https://www.youtube.com/watch?v=Mcdbp5B9t4k,DIY Summer Frozen Treats (Dairy Free)
https://www.youtube.com/watch?v=nWrdKf2LW5M,DIY Skincare Beauty Gifts
https://www.youtube.com/watch?v=fAz7xH1Yc0Y,Easy DIY Face Masks (for every skin type)
https://www.youtube.com/watch?v=E265iTEOa_4,"DIY Hygiene Hacks (DIY Deodorant, Shave Cream & Shampoo)"
https://www.youtube.com/watch?v=wObuA7a50ao,Bedtime Hacks + DIY For Kids
https://www.youtube.com/watch?v=14pbQt0qO48,DIY Hand & Foot Treatments
https://www.youtube.com/watch?v=FutO-uEWjso,DIY Bath Time Treatments
https://www.youtube.com/watch?v=WTJUoh6H7rQ,"DIY Spa Treatments (Body Butter, Toner, Scrub, Eye Serum)"
https://www.youtube.com/watch?v=GU0n39B0Kvo,DIY For Kids
https://www.youtube.com/watch?v=Z9FkV0fLMpo,DIY Holiday Gifts + Holiday Gift Favorites
https://www.youtube.com/watch?v=4n7mZ4MSF9Q,DIY Gift Baskets & Girls Getaway Part II
https://www.youtube.com/watch?v=9S0MD6LnV_g,Holiday DIY Crafts For Kids
https://www.youtube.com/watch?v=dm-6cdBMjpk,Holiday DIY Decor Ideas
https://www.youtube.com/watch?v=4ES4nNtbcNU,DIY HouseHold Cleaning Hacks
https://www.youtube.com/watch?v=yl6vBuP23bE,DIY SNACKS FOR KIDS
https://www.youtube.com/watch?v=j3yVHrxdjAk,Fall Decor & DIY Around The House
